seconds,accX,accY,accZ
292.0,-0.14,0.7,0.28
293.0,-0.47,0.92,0.31
295.0,-0.72,0.94,0.18
296.0,-0.81,0.89,0.34
297.0,-0.24,0.06,0.23
298.0,-0.64,0.97,0.15
299.0,-0.87,0.89,0.47
300.0,-0.54,0.75,0.33
301.0,-0.14,0.44,0.14
302.0,-0.73,0.85,0.35
303.0,-0.67,0.76,0.42
305.0,-0.42,0.46,0.21
306.0,-0.49,0.7,0.17
307.0,-0.88,1.03,0.45
308.0,-0.69,1.03,0.29
309.0,-0.25,0.5,0.38
310.0,-1.17,1.53,0.45
312.0,-0.33,0.82,0.37
313.0,-0.89,0.69,0.32
315.0,-0.71,0.93,0.21
316.0,-0.63,0.71,0.26
317.0,-0.79,0.62,0.32
318.0,-0.49,0.59,0.2
319.0,-0.79,0.77,0.12
320.0,-0.82,0.74,0.17
321.0,-0.5,0.66,0.24
322.0,-0.58,0.75,0.19
323.0,-0.88,0.76,0.19
324.0,-0.76,0.91,0.17
326.0,-0.44,0.49,0.21
327.0,-0.52,0.67,0.19
328.0,-0.97,0.89,0.11
329.0,-0.97,0.73,0.22
330.0,-0.79,0.98,0.27
331.0,-0.11,0.51,0.26
332.0,-0.32,0.67,0.3
333.0,-0.73,0.79,0.2
334.0,-0.97,0.59,0.33
336.0,-1.03,0.53,0.26
337.0,-0.35,0.27,0.19
338.0,-0.76,0.96,0.16
339.0,-0.97,0.79,0.32
340.0,-0.87,0.74,0.3
341.0,-0.64,0.76,0.33
342.0,-0.23,0.73,0.28
343.0,-0.74,0.89,0.04
344.0,-0.93,0.61,0.37
345.0,0.0,0.36,0.15
347.0,-0.9,0.95,0.17
348.0,-0.87,0.74,0.21
349.0,-0.24,0.46,0.22
350.0,-1.07,0.99,0.32
351.0,-0.74,0.82,0.25
352.0,-0.26,0.52,0.16
353.0,-0.94,0.84,0.3
354.0,-0.81,0.6,0.32
355.0,-0.08,0.62,0.1
357.0,-0.85,0.84,0.21
358.0,-0.91,0.82,0.21
359.0,-0.3,0.66,0.2
360.0,-0.52,0.56,0.23
361.0,-0.74,0.77,0.24
362.0,-0.84,0.99,0.21
363.0,-0.53,0.66,0.24
364.0,-0.26,0.57,0.13
365.0,-0.82,0.91,0.14
366.0,-0.85,0.59,0.16
368.0,-0.91,0.9,0.13
369.0,-0.14,0.33,0.16
370.0,-0.76,0.92,0.19
371.0,-0.92,0.87,0.24
372.0,-0.89,1.05,0.21
373.0,-0.4,0.37,0.15
374.0,-0.29,0.62,0.17
375.0,-1.07,0.9,0.17
376.0,-0.93,0.56,0.35
378.0,-0.83,0.75,0.25
379.0,-0.13,0.4,0.22
380.0,-0.61,0.86,0.14
381.0,-0.94,0.74,0.12
382.0,-0.92,0.57,0.35
383.0,-0.93,0.79,0.19
384.0,-0.33,0.77,0.15
385.0,-0.93,0.87,0.22
386.0,-0.97,1.09,0.19
387.0,-0.14,0.37,0.16
