seconds,accX,accY,accZ
646.0,-1.0,0.12,0.99
647.0,-2.0,2.0,-0.99
649.0,-0.17,-0.64,-0.77
650.0,-0.66,-2.0,1.56
651.0,-0.64,0.0,-1.59
652.0,-1.96,1.51,-0.94
653.0,-1.18,1.66,-0.12
654.0,-0.24,1.02,0.52
655.0,-0.54,0.39,-0.21
656.0,-0.65,0.32,0.26
657.0,-0.79,0.43,0.24
658.0,-0.66,0.45,0.11
660.0,-0.76,0.62,-0.08
661.0,-0.36,1.07,0.03
662.0,-0.97,0.84,0.08
663.0,-0.85,1.05,-0.25
664.0,-0.9,0.94,0.44
665.0,-1.0,1.56,-0.32
666.0,-1.16,1.1,-0.08
667.0,-1.45,0.45,0.1
668.0,-1.69,0.8,-0.2
670.0,-1.7,0.45,0.18
671.0,-1.25,0.4,0.57
672.0,-0.84,0.67,-0.07
673.0,-0.58,0.59,-0.94
674.0,0.01,0.49,0.17
675.0,-0.2,-0.09,0.03
676.0,-0.3,-0.22,-0.06
677.0,-0.21,-0.26,-0.04
678.0,-0.13,-0.26,0.3
679.0,-0.43,0.49,0.34
681.0,-0.92,1.1,1.61
682.0,-2.0,2.0,1.88
683.0,-0.07,-0.51,0.6
684.0,-0.6,0.09,0.9
685.0,-1.75,1.78,0.34
686.0,-0.15,0.56,-0.46
687.0,-0.23,-0.98,-0.92
688.0,-0.64,-1.55,0.67
689.0,-0.39,-1.88,2.0
691.0,-0.99,0.76,-1.13
692.0,-1.9,1.41,-0.97
693.0,-1.89,2.0,-0.9
694.0,-0.52,0.59,-0.1
695.0,-0.68,0.34,0.12
696.0,-0.64,0.51,-0.13
697.0,-0.6,0.52,0.16
698.0,-0.79,0.8,0.05
699.0,-0.73,1.14,-0.22
701.0,-1.07,1.33,-0.08
702.0,-1.31,1.27,0.02
703.0,-1.69,0.41,-0.2
704.0,-2.0,0.74,0.5
705.0,-1.69,0.36,0.37
706.0,-0.82,0.78,-0.07
707.0,-0.63,0.68,-1.21
708.0,-0.16,0.4,-0.11
709.0,-0.05,-0.14,-0.03
710.0,-0.27,-0.17,-0.16
712.0,-0.16,-0.17,0.27
713.0,-0.6,0.79,0.54
714.0,-1.81,2.0,1.74
715.0,-0.85,0.15,1.57
716.0,0.33,-0.32,0.4
717.0,-2.0,2.0,0.35
718.0,-0.36,-2.0,0.8
719.0,-0.79,0.18,-1.22
720.0,-1.42,2.0,0.32
722.0,-0.35,1.14,1.12
723.0,-0.59,0.53,-0.01
724.0,-1.0,0.29,0.3
