seconds,accX,accY,accZ
81.0,-2.0,0.22,0.36
82.0,-2.0,0.81,-1.05
84.0,-1.82,0.82,-0.08
85.0,-0.57,0.23,0.76
86.0,-1.52,0.19,-0.22
87.0,-1.5,0.06,-0.04
88.0,-1.07,0.35,-0.12
89.0,-1.31,0.25,-0.1
90.0,-1.39,0.35,0.86
91.0,-1.18,1.73,-0.31
92.0,0.45,-0.89,-0.44
94.0,-0.27,0.52,0.42
95.0,0.21,-0.84,0.12
96.0,-2.0,-0.0,0.4
97.0,-1.39,-0.27,-0.49
98.0,0.12,0.2,0.13
99.0,-2.0,1.44,2.0
8.0,-1.49,0.78,-0.93
9.0,-2.0,-0.15,0.16
10.0,-0.64,-0.07,-1.06
11.0,-0.01,1.69,-0.06
12.0,-0.14,-0.48,-0.16
6.0,-0.75,0.69,-0.62
7.0,-2.0,0.59,-1.27
8.0,-2.0,0.24,0.86
9.0,-1.57,1.32,0.77
10.0,-0.89,0.52,0.85
11.0,-0.92,0.62,-0.47
13.0,-1.39,0.06,-1.2
14.0,-1.01,-0.37,-0.61
15.0,0.02,0.29,-0.29
8.0,-0.63,-0.07,-0.23
9.0,0.03,-1.06,0.25
10.0,-2.0,0.56,-0.32
11.0,-1.82,-0.01,-0.47
13.0,0.16,0.01,0.27
14.0,-1.99,2.0,2.0
15.0,-2.0,-0.24,-0.39
16.0,0.11,0.03,-0.2
17.0,-0.85,0.49,0.98
18.0,-1.6,1.28,-0.65
19.0,-2.0,-0.74,2.0
20.0,-0.12,1.01,0.03
21.0,-0.69,0.0,-0.17
22.0,-2.0,-0.34,-0.18
24.0,-1.09,-0.62,0.21
25.0,0.86,-0.21,0.0
26.0,-1.79,0.56,-1.22
27.0,-2.0,0.14,0.12
28.0,-0.2,0.6,-0.05
29.0,-1.97,1.53,2.0
30.0,-2.0,0.03,0.45
31.0,-1.0,0.17,0.68
32.0,-0.84,0.28,0.7
34.0,-1.23,0.76,-1.07
35.0,-0.55,-0.24,-0.75
36.0,-0.56,0.67,0.99
37.0,-1.72,1.15,-0.19
38.0,-1.4,-0.36,-0.08
39.0,-0.05,1.56,0.49
40.0,0.01,-0.87,-0.15
41.0,-2.0,-0.12,-0.08
8.0,0.78,-0.64,-0.12
9.0,-2.0,0.66,-1.36
10.0,-2.0,0.16,0.42
11.0,-1.18,1.14,0.07
12.0,-1.44,0.53,0.55
13.0,-1.16,0.62,-1.11
15.0,-2.0,-0.0,-0.18
6.0,-0.45,0.56,0.65
7.0,-1.91,1.37,-0.13
8.0,-0.37,-0.79,0.48
9.0,0.4,1.07,0.32
11.0,0.16,-1.21,0.02
12.0,-2.0,1.21,-1.78
13.0,-1.2,-0.02,-0.21
14.0,0.67,-0.05,0.36
15.0,-2.0,1.99,2.0
16.0,-1.97,1.35,-1.15
17.0,-2.0,-0.97,2.0
18.0,-0.09,1.67,-0.28
19.0,-0.67,-0.2,-0.38
20.0,-0.64,-0.63,-0.91
22.0,-0.03,0.32,0.27
23.0,0.23,-1.1,0.13
24.0,-1.6,-0.06,-0.19
25.0,-2.0,-0.28,0.23
26.0,-1.19,1.78,0.56
27.0,-0.86,0.31,0.23
28.0,0.12,-0.95,0.04
29.0,-2.0,0.79,-1.29
30.0,-2.0,-0.55,0.31
32.0,-1.1,0.64,0.2
33.0,-2.0,1.05,2.0
34.0,-2.0,-0.65,0.7
35.0,-0.61,1.28,0.67
36.0,-0.81,0.32,0.72
37.0,-2.0,-0.07,0.1
38.0,-1.52,1.3,0.85
39.0,-1.86,0.52,0.9
40.0,-2.0,0.41,-0.28
41.0,-0.43,1.34,0.91
43.0,-1.62,0.63,-0.91
44.0,-1.5,0.33,-0.84
45.0,0.7,-0.15,0.13
46.0,-1.43,1.4,-1.02
47.0,-2.0,-0.07,0.43
48.0,-2.0,-0.61,-0.73
49.0,-0.25,1.73,-0.36
50.0,0.4,-1.39,-0.11
51.0,-2.0,0.62,-1.5
53.0,-2.0,1.0,0.45
54.0,-0.66,1.29,0.1
55.0,-1.33,0.31,0.95
56.0,-2.0,0.74,-0.37
57.0,-1.44,-0.77,0.61
58.0,-0.5,0.3,-0.0
59.0,-1.12,0.6,-0.67
60.0,-0.25,-0.29,-0.8
61.0,-0.53,0.0,0.65
62.0,0.89,-0.33,-0.11
64.0,-1.54,0.56,-0.64
65.0,-2.0,-0.3,0.47
66.0,-0.73,0.92,0.15
67.0,-1.34,0.49,0.55
68.0,-1.48,0.89,-0.54
69.0,-0.52,-0.56,-0.94
70.0,0.11,1.02,0.29
71.0,-0.95,0.33,-0.49
6.0,-1.94,0.52,-0.81
7.0,-2.0,1.37,1.02
9.0,0.18,1.47,0.18
10.0,0.35,-1.63,0.1
11.0,-2.0,0.4,-2.0
12.0,-1.16,0.79,-1.17
14.0,-1.21,0.05,0.02
15.0,-1.24,-0.05,0.68
16.0,-2.0,1.58,-0.2
17.0,-2.0,0.14,-0.4
18.0,0.04,1.69,-0.27
19.0,-0.2,-0.88,-0.27
20.0,-2.0,0.43,-1.11
21.0,-1.71,0.18,-1.07
22.0,0.07,-0.25,0.29
23.0,-1.79,0.96,-0.74
25.0,-2.0,-0.1,0.01
26.0,0.13,0.89,-0.64
27.0,-0.13,1.23,0.04
28.0,-1.22,0.51,-0.45
29.0,0.04,-0.83,-0.22
30.0,-0.04,0.56,0.26
31.0,0.03,-1.25,-0.01
32.0,-2.0,0.31,-1.29
33.0,-1.43,0.12,-0.5
35.0,-0.26,0.14,0.41
36.0,-0.98,-0.26,0.41
37.0,-1.22,0.89,-0.49
38.0,-2.0,-0.23,-0.5
39.0,0.1,1.46,0.21
40.0,-0.2,-1.35,0.02
41.0,-2.0,0.31,0.2
42.0,-2.0,1.66,0.9
43.0,-1.36,0.59,0.44
44.0,-1.15,0.09,0.72
46.0,-2.0,0.21,-0.5
47.0,-0.18,1.07,-0.23
48.0,-0.31,0.35,0.66
49.0,-1.5,1.86,0.14
50.0,-2.0,-1.3,2.0
51.0,-0.25,1.05,-0.05
52.0,-1.03,0.41,-0.42
53.0,0.07,-0.81,0.39
54.0,-0.03,1.32,-0.13
56.0,-0.19,-0.15,-0.39
57.0,-0.18,-0.84,0.12
58.0,0.15,1.11,0.04
59.0,-0.89,0.24,-0.39
60.0,0.19,-0.15,-1.11
61.0,0.15,0.76,0.37
62.0,-1.53,0.55,-0.38
63.0,-1.1,-0.31,0.5
64.0,-0.14,0.59,0.07
65.0,-1.01,0.14,-0.33
67.0,-0.56,-0.06,-0.28
68.0,-0.5,-0.07,-0.07
69.0,0.93,-0.07,-0.01
70.0,-1.83,0.67,-0.63
71.0,-2.0,-0.06,0.23
72.0,-0.7,-0.45,-0.85
73.0,-0.61,0.56,0.64
74.0,-1.78,1.12,-0.17
75.0,-0.25,-0.4,-0.4
77.0,0.1,1.46,0.41
78.0,-0.21,-1.0,0.11
79.0,-1.99,-0.11,-0.51
80.0,-0.69,-0.4,0.33
81.0,0.64,-0.01,0.05
82.0,-1.48,0.77,-0.63
83.0,-2.0,-0.29,0.46
84.0,-1.06,0.62,-0.03
85.0,-1.33,0.33,0.95
87.0,-2.0,0.77,-0.38
88.0,-1.9,-0.53,1.41
89.0,-0.03,1.14,-0.35
90.0,-2.0,1.74,1.02
91.0,-0.24,-0.39,-0.55
92.0,-0.54,0.4,-0.35
8.0,-0.58,0.94,0.44
9.0,-1.25,0.26,1.04
10.0,-1.65,1.96,0.54
11.0,-0.28,-0.7,0.16
12.0,0.41,0.99,0.16
13.0,1.0,-1.37,0.09
15.0,-1.21,0.39,-0.86
16.0,-2.0,0.53,0.04
17.0,-1.58,0.59,0.5
18.0,-1.25,0.1,0.73
19.0,-1.61,0.3,-1.0
20.0,-1.1,-0.78,0.23
21.0,-0.39,0.52,1.08
22.0,-1.75,0.66,-0.2
23.0,-2.0,-0.08,2.0
25.0,-0.82,0.08,0.21
26.0,-1.11,0.22,-0.04
27.0,-0.49,0.6,0.01
28.0,-0.22,0.78,-0.72
29.0,0.57,1.32,-0.13
30.0,0.75,0.62,0.09
31.0,0.66,0.07,-0.28
32.0,0.99,0.13,0.32
33.0,1.02,0.27,0.31
34.0,0.92,0.01,0.17
36.0,0.93,0.38,0.39
37.0,0.51,0.41,0.11
38.0,0.8,0.18,0.35
39.0,0.12,-0.48,-0.99
40.0,0.27,-0.42,-0.94
41.0,0.6,-0.08,-0.6
42.0,0.3,-0.25,-0.87
43.0,0.28,-0.25,-0.86
44.0,0.31,-0.24,-0.89
46.0,0.31,-0.23,-0.91
